Speaker_1,Speaker_2,Personality,Utterance_1,Utterance_2,Utterance_3,Emotion_1,Emotion_2,Emotion_3,Sentiment_1,Sentiment_2,Sentiment_3
Chandler,The Interviewer,"[0.648, 0.375, 0.386, 0.58, 0.477]",also I was the point person on my company s transition from the KL-5 to GR-6 system.,You must ve had your hands full.,That I did. That I did.,neutral,neutral,neutral,neutral,neutral,neutral
Chandler,The Interviewer,"[0.648, 0.375, 0.386, 0.58, 0.477]",That I did. That I did.,So let s talk a little bit about your duties.,My duties?  All right.,neutral,neutral,surprise,neutral,neutral,positive
Chandler,The Interviewer,"[0.648, 0.375, 0.386, 0.58, 0.477]",My duties?  All right.,"Now you ll be heading a whole division, so you ll have a lot of duties.",I see.,surprise,neutral,neutral,positive,neutral,neutral
Chandler,The Interviewer,"[0.648, 0.375, 0.386, 0.58, 0.477]",I see.,But there ll be perhaps 30 people under you so you can dump a certain amount on them.,Good to know.,neutral,neutral,neutral,neutral,neutral,neutral
Chandler,The Interviewer,"[0.648, 0.375, 0.386, 0.58, 0.477]",Good to know.,We can go into detail,No don t I beg of you!,neutral,neutral,fear,neutral,neutral,negative
Chandler,The Interviewer,"[0.648, 0.375, 0.386, 0.58, 0.477]",No don t I beg of you!,"All right then, we ll have a definite answer for you on Monday, but I think I can say with some confidence, you ll fit in well here.",Really?!,fear,neutral,surprise,negative,neutral,positive
Chandler,Monica,"[0.648, 0.375, 0.386, 0.58, 0.477]","Hey, Mon.",Hey-hey-hey. You wanna hear something that sucks.,Do I ever.,neutral,neutral,joy,neutral,neutral,positive
Chandler,Monica,"[0.648, 0.375, 0.386, 0.58, 0.477]",Do I ever.,Chris says they re closing down the bar.,No way!,joy,sadness,surprise,positive,negative,positive
Chandler,Monica,"[0.648, 0.375, 0.386, 0.58, 0.477]",No way!,"Yeah, apparently they re turning it into some kinda coffee place.",Just coffee! Where are we gonna hang out now?,surprise,neutral,disgust,positive,neutral,negative
Chandler,Monica,"[0.648, 0.375, 0.386, 0.58, 0.477]",Just coffee! Where are we gonna hang out now?,Got me.,Can I get a beer.,disgust,sadness,neutral,negative,negative,neutral
Chandler,Monica,"[0.648, 0.375, 0.386, 0.58, 0.477]",Can I get a beer.,"Hey, did you pick a roommate?",You betcha!,neutral,neutral,joy,neutral,neutral,positive
Chandler,Monica,"[0.648, 0.375, 0.386, 0.58, 0.477]",You betcha!,Is it the Italian guy?,"Um-mm, yeah right!",joy,neutral,joy,positive,neutral,positive
Chandler,Joey,"[0.648, 0.375, 0.386, 0.58, 0.477]",Good job Joe! Well done! Top notch!,You liked it? You really liked it?,"Oh-ho-ho, yeah!",joy,surprise,joy,positive,positive,positive
Chandler,Joey,"[0.648, 0.375, 0.386, 0.58, 0.477]","Oh-ho-ho, yeah!",Which part exactly?,The whole thing! Can we go?,joy,neutral,neutral,positive,neutral,neutral
Chandler,Joey,"[0.648, 0.375, 0.386, 0.58, 0.477]",The whole thing! Can we go?,"Oh no-no-no, give me some specifics.","I love the specifics, the specifics were the best part!",neutral,anger,joy,neutral,negative,positive
Chandler,Joey,"[0.648, 0.375, 0.386, 0.58, 0.477]","I love the specifics, the specifics were the best part!","Hey, what about the scene with the kangaroo? Did-did you like that part?",I was surprised to see a kangaroo in a World War I epic.,joy,neutral,surprise,positive,neutral,positive
Chandler,Customer,"[0.648, 0.375, 0.386, 0.58, 0.477]","Okay, that s enough honey!",I don t know.  Let me see the ring.,"Great! Okay, here.",neutral,neutral,joy,neutral,neutral,positive
Chandler,Customer,"[0.648, 0.375, 0.386, 0.58, 0.477]","Great! Okay, here.",All right.,Thank you. Thank you. Thank you!  And,joy,neutral,joy,positive,neutral,positive
Chandler,Ross,"[0.648, 0.375, 0.386, 0.58, 0.477]",Can you hold on a moment? I have another call.  I love her.,I know.,I'm back.,joy,neutral,neutral,positive,neutral,neutral
Chandler,Jade,"[0.648, 0.375, 0.386, 0.58, 0.477]",I'm back.,"So, are we gonna get together or what?","Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",neutral,neutral,neutral,neutral,neutral,neutral
Chandler,Jade,"[0.648, 0.375, 0.386, 0.58, 0.477]","Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?","Great, I'll see you then.",Ok.  Ok. Having a phone has finally paid off.,neutral,neutral,joy,neutral,neutral,positive
