Speaker_1,Speaker_2,Personality,Utterance_1,Utterance_2,Utterance_3,Emotion_1,Emotion_2,Emotion_3,Sentiment_1,Sentiment_2,Sentiment_3
Joey,Rachel,"[0.574, 0.614, 0.297, 0.545, 0.455]",But then who? The waitress I went out with last month?,You know? Forget it!,"No-no-no-no, no! Who, who were you talking about?",surprise,sadness,surprise,positive,negative,positive
Joey,Rachel,"[0.574, 0.614, 0.297, 0.545, 0.455]","No-no-no-no, no! Who, who were you talking about?","No, I-I-I-I don't, I actually don't know",Ok!,surprise,fear,neutral,positive,negative,neutral
Joey,Chandler,"[0.574, 0.614, 0.297, 0.545, 0.455]",You liked it? You really liked it?,"Oh-ho-ho, yeah!",Which part exactly?,surprise,joy,neutral,positive,positive,neutral
Joey,Chandler,"[0.574, 0.614, 0.297, 0.545, 0.455]",Which part exactly?,The whole thing! Can we go?,"Oh no-no-no, give me some specifics.",neutral,neutral,anger,neutral,neutral,negative
Joey,Chandler,"[0.574, 0.614, 0.297, 0.545, 0.455]","Oh no-no-no, give me some specifics.","I love the specifics, the specifics were the best part!","Hey, what about the scene with the kangaroo? Did-did you like that part?",anger,joy,neutral,negative,positive,neutral
Joey,Chandler,"[0.574, 0.614, 0.297, 0.545, 0.455]","Hey, what about the scene with the kangaroo? Did-did you like that part?",I was surprised to see a kangaroo in a World War I epic.,You fell asleep!!,neutral,surprise,anger,neutral,positive,negative
Joey,Chandler,"[0.574, 0.614, 0.297, 0.545, 0.455]",Hey! So Estelle lined up a bunch of auditions for me tomorrow and I ll have my health insurance back in no time.,"That s great, but shouldn t you be on the toilet right now?",What?!,joy,disgust,surprise,positive,negative,positive
Joey,Chandler,"[0.574, 0.614, 0.297, 0.545, 0.455]",What?!,What s wrong with you?,Nothing!,surprise,disgust,neutral,positive,negative,neutral
Joey,Chandler,"[0.574, 0.614, 0.297, 0.545, 0.455]","But um, I don t think it s anything serious.",This sounds like a hernia. You have to you-you go to the doctor!,"No way!  Kay look, if I have to go to the doctor for anything it s gonna be for this thing sticking out of my stomach!",neutral,surprise,fear,neutral,positive,negative
Joey,Chandler,"[0.574, 0.614, 0.297, 0.545, 0.455]","No way!  Kay look, if I have to go to the doctor for anything it s gonna be for this thing sticking out of my stomach!",That s a hernia.,Why did I have to start working out again?  Damn you 15s!,fear,disgust,anger,negative,negative,negative
Joey,Ross,"[0.574, 0.614, 0.297, 0.545, 0.455]","Uhh, the ball thing.",Yeah?,"Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!",neutral,neutral,joy,neutral,neutral,positive
Joey,Ross,"[0.574, 0.614, 0.297, 0.545, 0.455]","Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!","Uhh,",Okay!,joy,neutral,joy,positive,neutral,positive
Joey,Ross,"[0.574, 0.614, 0.297, 0.545, 0.455]",Uh-oh.,What?,I have to pee. And Rachel's in the bathroom!,fear,neutral,sadness,negative,neutral,negative
Joey,Phoebe,"[0.574, 0.614, 0.297, 0.545, 0.455]","Oh, unbelievable! We had the best time!","Yay!! Oh so, you re not, you re not mad at us anymore?",No!,joy,joy,joy,positive,positive,positive
Joey,Phoebe,"[0.574, 0.614, 0.297, 0.545, 0.455]","That was so awkward, we were really nervous.",Didn t you sleep together?,"Yeah, that really calms me down.",neutral,neutral,neutral,neutral,neutral,neutral
Joey,Rachel,"[0.574, 0.614, 0.297, 0.545, 0.455]","She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well that s a","Oh my God! Listen to you talkin  about having kids. Oh my Joey.  Oh, please don t get married before I do.",Okay.,joy,surprise,neutral,positive,positive,neutral
Joey,Nurse,"[0.574, 0.614, 0.297, 0.545, 0.455]",Ew! What is that? Something exploded!,"It's just her water breaking. Calm down, will you?","Water breaking, what do you mean? What's that, water breaking?",disgust,neutral,surprise,negative,neutral,positive
