Speaker_1,Speaker_2,Personality,Utterance_1,Utterance_2,Utterance_3,Emotion_1,Emotion_2,Emotion_3,Sentiment_1,Sentiment_2,Sentiment_3
Monica,Chandler,"[0.713, 0.457, 0.457, 0.66, 0.511]",Hey-hey-hey. You wanna hear something that sucks.,Do I ever.,Chris says they re closing down the bar.,neutral,joy,sadness,neutral,positive,negative
Monica,Chandler,"[0.713, 0.457, 0.457, 0.66, 0.511]",Chris says they re closing down the bar.,No way!,"Yeah, apparently they re turning it into some kinda coffee place.",sadness,surprise,neutral,negative,positive,neutral
Monica,Chandler,"[0.713, 0.457, 0.457, 0.66, 0.511]","Yeah, apparently they re turning it into some kinda coffee place.",Just coffee! Where are we gonna hang out now?,Got me.,neutral,disgust,sadness,neutral,negative,negative
Monica,Chandler,"[0.713, 0.457, 0.457, 0.66, 0.511]",Got me.,Can I get a beer.,"Hey, did you pick a roommate?",sadness,neutral,neutral,negative,neutral,neutral
Monica,Chandler,"[0.713, 0.457, 0.457, 0.66, 0.511]","Hey, did you pick a roommate?",You betcha!,Is it the Italian guy?,neutral,joy,neutral,neutral,positive,neutral
Monica,Rachel,"[0.713, 0.457, 0.457, 0.66, 0.511]",Rach? What are you doing?,"Oh boy, I just can't watch. It's too scary!",It's a diaper commercial.,neutral,fear,neutral,neutral,negative,neutral
Monica,Ross,"[0.713, 0.457, 0.457, 0.66, 0.511]",How does she do that?,I cannot sleep in a public place.,Would you look at her? She is so peaceful.,surprise,neutral,joy,positive,neutral,positive
Monica,Chandler,"[0.713, 0.457, 0.457, 0.66, 0.511]",Wow! That Mike thing was interesting! I don't know what's gonna happen with Phoebe and David.,"I do! Want a hint? huh? ""I do""  ""I do"".","Ok, I'm sensing that this is some kind of word play, because you are pink with barely controlled glee.",surprise,joy,neutral,positive,positive,neutral
Monica,Chandler,"[0.713, 0.457, 0.457, 0.66, 0.511]","Ok, I'm sensing that this is some kind of word play, because you are pink with barely controlled glee.",David is going to propose to Phoebe.,What?  Why?,neutral,joy,surprise,neutral,positive,positive
Monica,Chandler,"[0.713, 0.457, 0.457, 0.66, 0.511]",Now couldn't you just have made some sort of inappropriate joke?,I,They've only been going out for a few weeks and Phoebe is completely hung up on Mike!,anger,neutral,anger,negative,neutral,negative
Monica,Chandler,"[0.713, 0.457, 0.457, 0.66, 0.511]",Hi guys.,You are beautiful.,"Oh, thank you!   What s going on?",neutral,joy,joy,neutral,positive,positive
Monica,Joey,"[0.713, 0.457, 0.457, 0.66, 0.511]","Okay, we have a lot of options here, a number of prototypes for you to try on.",Wow! This looks great!,"Yeah! Okay, this one is a mushroom cap.  Umm, this one is made of bologna.",neutral,joy,joy,neutral,positive,positive
Monica,Chandler,"[0.713, 0.457, 0.457, 0.66, 0.511]",You kissed another woman!,Call it even?!,Okay!,anger,neutral,joy,negative,neutral,positive
Monica,Joey,"[0.713, 0.457, 0.457, 0.66, 0.511]",Hello?  Eighth street deli?,"Hey, hang up! You get food poisoning just talkin  to that place.","Uh sorry, wrong number.",neutral,disgust,fear,neutral,negative,negative
Monica,Chandler,"[0.713, 0.457, 0.457, 0.66, 0.511]","Uh sorry, wrong number.",Here you go.,Hello?   It s the deli again!,fear,neutral,surprise,negative,neutral,positive
Monica,Joey,"[0.713, 0.457, 0.457, 0.66, 0.511]",Hello?   It s the deli again!,All right! I ll have a sandwich!,I don t think this number s right!,surprise,joy,sadness,positive,positive,negative
Monica,Rachel,"[0.713, 0.457, 0.457, 0.66, 0.511]","Hey, Rach, how was work?","Oh, great. Although I did sit down where there wasn t a chair.","By the way, Ross dropped by a box of your stuff.",neutral,neutral,neutral,neutral,neutral,neutral
Monica,Joey,"[0.713, 0.457, 0.457, 0.66, 0.511]",Because we won our apartment back!,"What? Ace is high! Jack, queen, king, ace!","No! Ace is low! Ace, two, three, four!",joy,surprise,anger,positive,positive,negative
Monica,Joey,"[0.713, 0.457, 0.457, 0.66, 0.511]","But, we pick again! We pick again!",Why?!,I don t know!,joy,neutral,fear,positive,neutral,negative
Monica,Phoebe,"[0.713, 0.457, 0.457, 0.66, 0.511]",I know.,"Ooh, I have to tell you something.",What?,neutral,joy,neutral,neutral,positive,neutral
Monica,Phoebe,"[0.713, 0.457, 0.457, 0.66, 0.511]",What?,But I can t tell you.,"Okay, but wouldn t it be easier if you had to tell me something that you could tell me.",neutral,neutral,neutral,neutral,neutral,neutral
Monica,Phoebe,"[0.713, 0.457, 0.457, 0.66, 0.511]","Okay, but wouldn t it be easier if you had to tell me something that you could tell me.","Well, sure in a perfect world. But, no, I promised I wouldn t tell, and I swore to like all my gods.",Okay. Does it have to do with Ross and Rachel?,neutral,neutral,neutral,neutral,neutral,neutral
