Speaker_1,Speaker_2,Personality,Utterance_1,Utterance_2,Utterance_3,Emotion_1,Emotion_2,Emotion_3,Sentiment_1,Sentiment_2,Sentiment_3
Phoebe,Chandler,"[0.6, 0.48, 0.31, 0.46, 0.56]","Oh my God, oh my God! Poor Monica!","What, what, what?!",What?!,surprise,surprise,surprise,positive,positive,positive
Phoebe,Joey,"[0.6, 0.48, 0.31, 0.46, 0.56]",Ameri-can.,Ameri-ccan.,Ameri-can. Y'know it s a,neutral,neutral,neutral,neutral,neutral,neutral
Phoebe,Monica,"[0.6, 0.48, 0.31, 0.46, 0.56]",Oy!!,What s with all this sand?,"Oh, yeah, Bob said there might be flood damage.",disgust,surprise,neutral,negative,positive,neutral
Phoebe,Ross,"[0.6, 0.48, 0.31, 0.46, 0.56]",I got no sleep last night!,Why?,"My grandmother has this new boyfriend, and they're both kind of insecure in bed.",anger,neutral,disgust,negative,neutral,negative
Phoebe,Monica,"[0.6, 0.48, 0.31, 0.46, 0.56]",You have no idea how loud they are!,"Well, if you want, you can stay with Rachel and me tonight.",Thanks.,disgust,neutral,joy,negative,neutral,positive
Phoebe,Monica,"[0.6, 0.48, 0.31, 0.46, 0.56]","Oh yeah, I'm sure.  And all of a sudden his hands weren't the problem anymore.",Was it...?,"Oh, boy scouts could have camped under there.",neutral,surprise,neutral,neutral,positive,neutral
Phoebe,Rachel,"[0.6, 0.48, 0.31, 0.46, 0.56]","Oh, boy scouts could have camped under there.","""Ooo,"" what?",Uma Thurman.,neutral,surprise,neutral,neutral,positive,neutral
Phoebe,Monica,"[0.6, 0.48, 0.31, 0.46, 0.56]","Ooh, I have to tell you something.",What?,But I can t tell you.,joy,neutral,neutral,positive,neutral,neutral
Phoebe,Monica,"[0.6, 0.48, 0.31, 0.46, 0.56]",But I can t tell you.,"Okay, but wouldn t it be easier if you had to tell me something that you could tell me.","Well, sure in a perfect world. But, no, I promised I wouldn t tell, and I swore to like all my gods.",neutral,neutral,neutral,neutral,neutral,neutral
Phoebe,Monica,"[0.6, 0.48, 0.31, 0.46, 0.56]","Well, sure in a perfect world. But, no, I promised I wouldn t tell, and I swore to like all my gods.",Okay. Does it have to do with Ross and Rachel?,No.,neutral,neutral,neutral,neutral,neutral,neutral
Phoebe,Monica,"[0.6, 0.48, 0.31, 0.46, 0.56]",No.,Does it have to do with Joey?,No.,neutral,neutral,neutral,neutral,neutral,neutral
Phoebe,Monica,"[0.6, 0.48, 0.31, 0.46, 0.56]",No.,Does it have to do with-with Chandler and that sock that he keeps by his bed?,"No, but let s come back to that later!",neutral,neutral,neutral,neutral,neutral,neutral
Phoebe,Rachel,"[0.6, 0.48, 0.31, 0.46, 0.56]",Personal shopping? What is that? Like where you walk around with snooty rich people and tell them what to buy?,Uh-huh.,That sounds great!,neutral,neutral,surprise,neutral,neutral,positive
Phoebe,Monica,"[0.6, 0.48, 0.31, 0.46, 0.56]",With what?,"Well, we re trying to find someone to perform our wedding and they re all either boring or annoying or y know, can t stop staring at the ladies.",Oo! You should have one of us do it!,neutral,neutral,joy,neutral,neutral,positive
Phoebe,Monica,"[0.6, 0.48, 0.31, 0.46, 0.56]",Oo! You should have one of us do it!,"Phoebe, we re getting",No! No! It s-it s uh a real thing! Anyone can get ordained on the Internet and perform like weddings and stuff!,joy,neutral,joy,positive,neutral,positive
Phoebe,Joey,"[0.6, 0.48, 0.31, 0.46, 0.56]",No! No! It s-it s uh a real thing! Anyone can get ordained on the Internet and perform like weddings and stuff!,I call it!!,What?! No! It was my idea!,joy,joy,anger,positive,positive,negative
Phoebe,Monica,"[0.6, 0.48, 0.31, 0.46, 0.56]","Just listen, Monica, I, do you know, okay, do you know, I couldn t sleep for like a month because I got like a dot of ink on one of the sofa cushions.","Well, you-you coulda just turned the cushion over.","Yeah, I would ve except I had a big spaghetti stain on the other side.",neutral,neutral,neutral,neutral,neutral,neutral
Phoebe,Monica,"[0.6, 0.48, 0.31, 0.46, 0.56]","Yeah, I would ve except I had a big spaghetti stain on the other side.",What?!?!,"Okay, this is what I m talking about, this. I-I need to live in a land where people can spill.",neutral,surprise,neutral,neutral,positive,neutral
Phoebe,Monica,"[0.6, 0.48, 0.31, 0.46, 0.56]","Okay, this is what I m talking about, this. I-I need to live in a land where people can spill.",You can spill. In the sink.,"Aw, honey it s not your fault, y'know this is who you are, and I love you, and I want us to be friends, and if I keep living here I don t see that happening.",neutral,neutral,sadness,neutral,neutral,negative
Phoebe,Monica,"[0.6, 0.48, 0.31, 0.46, 0.56]","Aw, honey it s not your fault, y'know this is who you are, and I love you, and I want us to be friends, and if I keep living here I don t see that happening.","I love you, too.","Aww, good.  What?",sadness,joy,joy,negative,positive,positive
Phoebe,Monica,"[0.6, 0.48, 0.31, 0.46, 0.56]","Aww, good.  What?",What? I m just said.,"No you re not, you re wondering which cushion it is.",joy,sadness,neutral,positive,negative,neutral
