Speaker_1,Speaker_2,Personality,Utterance_1,Utterance_2,Utterance_3,Emotion_1,Emotion_2,Emotion_3,Sentiment_1,Sentiment_2,Sentiment_3
Rachel,Joey,"[0.635, 0.354, 0.521, 0.552, 0.469]",You know? Forget it!,"No-no-no-no, no! Who, who were you talking about?","No, I-I-I-I don't, I actually don't know",sadness,surprise,fear,negative,positive,negative
Rachel,Ross,"[0.635, 0.354, 0.521, 0.552, 0.469]",Hey!,Hi!,What are you doing here?,surprise,joy,surprise,positive,positive,positive
Rachel,Ross,"[0.635, 0.354, 0.521, 0.552, 0.469]",What are you doing here?,"Ah y'know, this building is on my paper route so I...",Oh.,surprise,neutral,neutral,positive,neutral,neutral
Rachel,Ross,"[0.635, 0.354, 0.521, 0.552, 0.469]",Oh.,Hi.,Hi.,neutral,neutral,neutral,neutral,neutral,neutral
Rachel,Ross,"[0.635, 0.354, 0.521, 0.552, 0.469]",Hi.,How d did it go?,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn t shut up.",neutral,neutral,joy,neutral,neutral,positive
Rachel,Ross,"[0.635, 0.354, 0.521, 0.552, 0.469]","Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn t shut up.",I m so proud of you.,Me too!,joy,joy,joy,positive,positive,positive
Rachel,Ross,"[0.635, 0.354, 0.521, 0.552, 0.469]",Me too!,"Listen, I m ah, I m sorry I ve been so crazy and jealous and, it s just that I like you a lot, so...",I know.,joy,sadness,neutral,positive,negative,neutral
Rachel,Ross,"[0.635, 0.354, 0.521, 0.552, 0.469]",I know.,Yeah.,Yeah.,neutral,neutral,neutral,neutral,neutral,neutral
Rachel,Monica,"[0.635, 0.354, 0.521, 0.552, 0.469]","Oh boy, I just can't watch. It's too scary!",It's a diaper commercial.,"Oh yeah well, you know me, babies, responsibilities, ahhh!!!",fear,neutral,fear,negative,neutral,negative
Rachel,Ross,"[0.635, 0.354, 0.521, 0.552, 0.469]",You guys would never want to go to a lecture with me.,Pa-haa!! I would love to go with you.,Really!?,neutral,joy,surprise,neutral,positive,positive
Rachel,Ross,"[0.635, 0.354, 0.521, 0.552, 0.469]","Now, I'm just letting you know that this is",Yep! That's hilarious!,I'm sorry. I'm done. I'm done.,neutral,joy,neutral,neutral,positive,neutral
Rachel,Ross,"[0.635, 0.354, 0.521, 0.552, 0.469]",I'm sorry. I'm done. I'm done.,"Y'know, last night was embarrassing for you too.","No, not really. I mean you've seen me naked hundreds of times.",neutral,neutral,neutral,neutral,neutral,neutral
Rachel,Ross,"[0.635, 0.354, 0.521, 0.552, 0.469]","No, not really. I mean you've seen me naked hundreds of times.",Uh-huh. But it was a first for the rest of my building.,"Okay. All right, that's true! But y'know I just don't embarrass that easily.",neutral,neutral,neutral,neutral,neutral,neutral
Rachel,Ross,"[0.635, 0.354, 0.521, 0.552, 0.469]","Okay. All right, that's true! But y'know I just don't embarrass that easily.",What?! You totally get embarrassed!,"No, I don't! Ross, I think I'm just a more secure person than you are.",neutral,surprise,neutral,neutral,positive,neutral
Rachel,Ross,"[0.635, 0.354, 0.521, 0.552, 0.469]","No, I don't! Ross, I think I'm just a more secure person than you are.",Is that so?,Yeah.,neutral,neutral,neutral,neutral,neutral,neutral
Rachel,Monica,"[0.635, 0.354, 0.521, 0.552, 0.469]","Oh, great. Although I did sit down where there wasn t a chair.","By the way, Ross dropped by a box of your stuff.","Oh, well, I guess I had that one coming.",neutral,neutral,neutral,neutral,neutral,neutral
Rachel,Monica,"[0.635, 0.354, 0.521, 0.552, 0.469]","I m just gonna throw it out, it s probably just a bunch of shampoo and...",Something wrong?,No. Nothing.,neutral,neutral,neutral,neutral,neutral,neutral
Rachel,Joey,"[0.635, 0.354, 0.521, 0.552, 0.469]","All right, cut, let s pick again, pick again.",Okay.,Come on apartment! Come on apartment!  Oh! I know queen is high!,neutral,neutral,anger,neutral,neutral,negative
Rachel,Ross,"[0.635, 0.354, 0.521, 0.552, 0.469]","Hi. Look um, about what happened earlier...","No, hey, well, I-I completely understand. You were, you were stressed.",I was gonna give you a chance to apologise to me.,sadness,neutral,disgust,negative,neutral,negative
Rachel,Ross,"[0.635, 0.354, 0.521, 0.552, 0.469]",I was gonna give you a chance to apologise to me.,For what? For letting you throw me out of your office?,You had no,disgust,anger,anger,negative,negative,negative
