Speaker_1,Speaker_2,Personality,Utterance_1,Utterance_2,Utterance_3,Emotion_1,Emotion_2,Emotion_3,Sentiment_1,Sentiment_2,Sentiment_3
Ross,Rachel,"[0.722, 0.489, 0.6, 0.533, 0.356]",Hi!,What are you doing here?,"Ah y'know, this building is on my paper route so I...",joy,surprise,neutral,positive,positive,neutral
Ross,Rachel,"[0.722, 0.489, 0.6, 0.533, 0.356]","Ah y'know, this building is on my paper route so I...",Oh.,Hi.,neutral,neutral,neutral,neutral,neutral,neutral
Ross,Rachel,"[0.722, 0.489, 0.6, 0.533, 0.356]",Hi.,Hi.,How d did it go?,neutral,neutral,neutral,neutral,neutral,neutral
Ross,Rachel,"[0.722, 0.489, 0.6, 0.533, 0.356]",How d did it go?,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn t shut up.",I m so proud of you.,neutral,joy,joy,neutral,positive,positive
Ross,Rachel,"[0.722, 0.489, 0.6, 0.533, 0.356]",I m so proud of you.,Me too!,"Listen, I m ah, I m sorry I ve been so crazy and jealous and, it s just that I like you a lot, so...",joy,joy,sadness,positive,positive,negative
Ross,Rachel,"[0.722, 0.489, 0.6, 0.533, 0.356]","Listen, I m ah, I m sorry I ve been so crazy and jealous and, it s just that I like you a lot, so...",I know.,Yeah.,sadness,neutral,neutral,negative,neutral,neutral
Ross,Chandler,"[0.722, 0.489, 0.6, 0.533, 0.356]","Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""","I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",Oh my god. You are pure evil.,neutral,neutral,disgust,neutral,neutral,negative
Ross,Monica,"[0.722, 0.489, 0.6, 0.533, 0.356]",This is my wedding.,"All right, y know what? We really are late! Let s go! Let s go! Let s go!!",Fine. You ll-you ll watch it on video when we get back.,neutral,anger,neutral,neutral,negative,neutral
Ross,Mona,"[0.722, 0.489, 0.6, 0.533, 0.356]",Uh that s an eighteenth century Indian artifact from Calcutta.,"Oh wow! So, you re more than just dinosaurs.",So much more.,neutral,surprise,neutral,neutral,positive,neutral
Ross,Mona,"[0.722, 0.489, 0.6, 0.533, 0.356]","Well, well to sum up, we re having fun, you look young.",Okay,But that s not enough. So  So here s a key to my apartment.,neutral,neutral,neutral,neutral,neutral,neutral
Ross,Mona,"[0.722, 0.489, 0.6, 0.533, 0.356]",But that s not enough. So  So here s a key to my apartment.,Really?!,Really.,neutral,surprise,neutral,neutral,positive,neutral
Ross,Charlie,"[0.722, 0.489, 0.6, 0.533, 0.356]",Get Out!,"Ross, can I talk to you for a minute?","Yes, please!  So, what's going on?",anger,neutral,neutral,negative,neutral,neutral
Ross,Charlie,"[0.722, 0.489, 0.6, 0.533, 0.356]","Yes, please!  So, what's going on?","Uh, well... Joey and I broke up.","Oh my God, wh-what happened?",neutral,sadness,surprise,neutral,negative,positive
Ross,Charlie,"[0.722, 0.489, 0.6, 0.533, 0.356]","Oh my God, wh-what happened?","Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!",I knew that was him!,surprise,sadness,anger,positive,negative,negative
Ross,Charlie,"[0.722, 0.489, 0.6, 0.533, 0.356]",I knew that was him!,"Anyway I just, uh, I think it's for the best.","Hey, you ok?",anger,sadness,neutral,negative,negative,neutral
Ross,Caitlin,"[0.722, 0.489, 0.6, 0.533, 0.356]",I'll get it! I will get that!,Hi!,Hi!,joy,joy,joy,positive,positive,positive
Ross,Joey,"[0.722, 0.489, 0.6, 0.533, 0.356]","Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh?","Uhh, the ball thing.",Yeah?,neutral,neutral,neutral,neutral,neutral,neutral
Ross,Joey,"[0.722, 0.489, 0.6, 0.533, 0.356]",Yeah?,"Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!","Uhh,",neutral,joy,neutral,neutral,positive,neutral
Ross,Rachel,"[0.722, 0.489, 0.6, 0.533, 0.356]",Pa-haa!! I would love to go with you.,Really!?,"Yeah, hey I-I have clothes, I even pick them out.",joy,surprise,neutral,positive,positive,neutral
Ross,Rachel,"[0.722, 0.489, 0.6, 0.533, 0.356]","I mean for, for all you know I could be a fashion..... monger.","Okay. Honey, I would love for you to go with me.  What?","What should I wear, now I m all nervous.",neutral,joy,fear,neutral,positive,negative
Ross,Joey,"[0.722, 0.489, 0.6, 0.533, 0.356]",Yes!! I knew it!!  Bye-bye! So long! Later!,Oh this is great! I might actually get to play Ben's dad!,Yeah!,joy,joy,joy,positive,positive,positive
Ross,Emily,"[0.722, 0.489, 0.6, 0.533, 0.356]","And it s all because of you, wonderful, amazing you.",I think you ve got concussion.,"No, no, I m serious. Thank you.",joy,fear,joy,positive,negative,positive
Ross,Emily,"[0.722, 0.489, 0.6, 0.533, 0.356]","No, no, I m serious. Thank you.",You re welcome.  I m sorry. Did I hurt you?,"It s worth the pain.  Y know what, you know what? It s not.",joy,fear,sadness,positive,negative,negative
Ross,Paul,"[0.722, 0.489, 0.6, 0.533, 0.356]",It-it s great to meet you Paul.,I usually prefer Elizabeth s boyfriends to address me as Mr. Stevens.,"Of course, of course, Mr. Stevens.",joy,neutral,neutral,positive,neutral,neutral
Ross,Paul,"[0.722, 0.489, 0.6, 0.533, 0.356]","Of course, of course, Mr. Stevens.","So Ross, what your problem?",Eh-wh Excuse me?,neutral,anger,surprise,neutral,negative,positive
Ross,Paul,"[0.722, 0.489, 0.6, 0.533, 0.356]",Eh-wh Excuse me?,Why can t you get a girlfriend your own age?,That s funny. Umm .  It s not funny.,surprise,anger,fear,positive,negative,negative
Ross,Paul,"[0.722, 0.489, 0.6, 0.533, 0.356]",That s funny. Umm .  It s not funny.,I,Okay.,fear,neutral,neutral,negative,neutral,neutral
Ross,Paul,"[0.722, 0.489, 0.6, 0.533, 0.356]","Umm, but I think if you give me umm, one chance I can, I can change your mind.",Okay.,What?,fear,neutral,neutral,negative,neutral,neutral
Ross,Chandler,"[0.722, 0.489, 0.6, 0.533, 0.356]",Thanks Rach.,So what are you gonna do?,You have to tell her!,neutral,surprise,joy,neutral,positive,positive
Ross,Rachel,"[0.722, 0.489, 0.6, 0.533, 0.356]",Yep! That's hilarious!,I'm sorry. I'm done. I'm done.,"Y'know, last night was embarrassing for you too.",joy,neutral,neutral,positive,neutral,neutral
Ross,Rachel,"[0.722, 0.489, 0.6, 0.533, 0.356]","Y'know, last night was embarrassing for you too.","No, not really. I mean you've seen me naked hundreds of times.",Uh-huh. But it was a first for the rest of my building.,neutral,neutral,neutral,neutral,neutral,neutral
Ross,Rachel,"[0.722, 0.489, 0.6, 0.533, 0.356]",Uh-huh. But it was a first for the rest of my building.,"Okay. All right, that's true! But y'know I just don't embarrass that easily.",What?! You totally get embarrassed!,neutral,neutral,surprise,neutral,neutral,positive
Ross,Rachel,"[0.722, 0.489, 0.6, 0.533, 0.356]",What?! You totally get embarrassed!,"No, I don't! Ross, I think I'm just a more secure person than you are.",Is that so?,surprise,neutral,neutral,positive,neutral,neutral
Ross,Rachel,"[0.722, 0.489, 0.6, 0.533, 0.356]",Is that so?,Yeah.,Hey lady! I don't care how much you want it! Okay?! I am,neutral,neutral,disgust,neutral,neutral,negative
Ross,Phoebe,"[0.722, 0.489, 0.6, 0.533, 0.356]","Well, I m gonna go get these  in some water.",Wait you stole those from these people s wedding?,"No-no, I took them from the hotel lobby.",neutral,surprise,neutral,neutral,positive,neutral
Ross,Monica,"[0.722, 0.489, 0.6, 0.533, 0.356]","Especially by that professor we ran into last night, Judgey von Holierthanthou.","Well Ross, you be careful now. You don t want to get a reputation as y know Professor McNailshisstudents.",Yeah. What-what should I do?,anger,joy,fear,negative,positive,negative
Ross,Chandler,"[0.722, 0.489, 0.6, 0.533, 0.356]",Going out with who?,"Uh, Dana Keystone from college.",Oh yeah! Wasn t she uh,neutral,neutral,surprise,neutral,neutral,positive
Ross,Rachel,"[0.722, 0.489, 0.6, 0.533, 0.356]",Hey.,"Hi. Look um, about what happened earlier...","No, hey, well, I-I completely understand. You were, you were stressed.",neutral,sadness,neutral,neutral,negative,neutral
Ross,Rachel,"[0.722, 0.489, 0.6, 0.533, 0.356]","No, hey, well, I-I completely understand. You were, you were stressed.",I was gonna give you a chance to apologise to me.,For what? For letting you throw me out of your office?,neutral,disgust,anger,neutral,negative,negative
Ross,Rachel,"[0.722, 0.489, 0.6, 0.533, 0.356]",For what? For letting you throw me out of your office?,You had no,"Yeah, well excuse me for wanting to be with my girlfriend on our anniversary, boy what an ass am I.",anger,anger,anger,negative,negative,negative
Ross,Rachel,"[0.722, 0.489, 0.6, 0.533, 0.356]","Yeah, well excuse me for wanting to be with my girlfriend on our anniversary, boy what an ass am I.","But I told you, I didn t have the time!","Yeah, well you never have the time. I mean, I don t feel like I even have a girlfriend anymore, Rachel.",anger,anger,anger,negative,negative,negative
Ross,Chandler,"[0.722, 0.489, 0.6, 0.533, 0.356]",Hey! Guess what I got for your wedding!,A freakish thin date with a hanger for her head?,"No. Rachel hooked me up with a tux! But not just any tux, Batman s tux!",joy,neutral,joy,positive,neutral,positive
Ross,Chandler,"[0.722, 0.489, 0.6, 0.533, 0.356]","No. Rachel hooked me up with a tux! But not just any tux, Batman s tux!",What?,That s right! Made expressly for Val Kilmer and worn by him in the hit film that Batman film he was in.,joy,surprise,joy,positive,positive,positive
Ross,Chandler,"[0.722, 0.489, 0.6, 0.533, 0.356]",That s right! Made expressly for Val Kilmer and worn by him in the hit film that Batman film he was in.,You can t wear that! I m wearing the famous tux! James Bond s tux!,So?,joy,anger,neutral,positive,negative,neutral
Ross,Rachel,"[0.722, 0.489, 0.6, 0.533, 0.356]","See, I see.... big passion in your future.",Really?,I do.,joy,surprise,neutral,positive,positive,neutral
Ross,Rachel,"[0.722, 0.489, 0.6, 0.533, 0.356]",Uh-huh.,I would love to live with you Ross.. that s-that s great! Thank you!,"Well, I m-I m just glad I could, y know, help you out.",neutral,joy,neutral,neutral,positive,neutral
Ross,Rachel,"[0.722, 0.489, 0.6, 0.533, 0.356]","Hero, I uh, I don t know well, all right.","Oh, I have to go tell Monica what a wonderful brother she has!","Oh please!   You re gonna say things now, aren t ya?",neutral,joy,joy,neutral,positive,positive
Ross,Rachel,"[0.722, 0.489, 0.6, 0.533, 0.356]",I mean if you hadn t initiated it I-I-I know I would ve.,It was an amazing night.,It was. It was an amazing night.,neutral,joy,joy,neutral,positive,positive
Ross,Rachel,"[0.722, 0.489, 0.6, 0.533, 0.356]",Yeah.,Does it still hurt?,Yeah.,neutral,sadness,sadness,neutral,negative,negative
Ross,Dr. Rhodes,"[0.722, 0.489, 0.6, 0.533, 0.356]",Just slice that baby right off!,"Take your shirt off, and let's see what we're dealing with here.  What are you doing?",Just showing you my run-of-the-mill-slice-it-right-off third nipple.,fear,neutral,neutral,negative,neutral,neutral
Ross,Dr. Rhodes,"[0.722, 0.489, 0.6, 0.533, 0.356]",Just showing you my run-of-the-mill-slice-it-right-off third nipple.,Well that's not a third nipple.,No?,neutral,neutral,surprise,neutral,neutral,positive
Ross,Kristen,"[0.722, 0.489, 0.6, 0.533, 0.356]","It s from France In Europe Western Europe. Y know umm, a few years ago I actually was backpacking across Western Europe.",Really?,"Uh-hmm Wait! It gets better. Um, yeah I was in Barcelona.",neutral,surprise,joy,neutral,positive,positive
Ross,Kristen,"[0.722, 0.489, 0.6, 0.533, 0.356]","Uh-hmm Wait! It gets better. Um, yeah I was in Barcelona.",I studied for a year in Barcelona.,"Anyway, umm so I was um, I was hiking",joy,neutral,neutral,positive,neutral,neutral
Ross,Kristen,"[0.722, 0.489, 0.6, 0.533, 0.356]","Anyway, umm so I was um, I was hiking",I love hiking!,Oh that s great! I was hiking along the foothills of Mount Tibidaybo,neutral,joy,joy,neutral,positive,positive
Ross,Janice,"[0.722, 0.489, 0.6, 0.533, 0.356]","Um uh We re-we re just having this baby together but uh, uh that s all.",Why?!!,"Uh well umm we re just not in that place, y know? But we re very excited about this.",neutral,surprise,neutral,neutral,positive,neutral
Ross,Phoebe,"[0.722, 0.489, 0.6, 0.533, 0.356]",And they knew about it?,"Okay, well Ross, what is this really about?","Look, this is my home and I want to be able to come and go whenever I want!",surprise,surprise,anger,positive,positive,negative
Ross,Phoebe,"[0.722, 0.489, 0.6, 0.533, 0.356]","Look, this is my home and I want to be able to come and go whenever I want!","Okay, I will find someplace else to do the rest of my appointments. I just don t know what the big deal is!","The big deal is I don t want naked, greasy strangers in my apartment when I want to kick back with a puzzle beer! Cold beer.",anger,anger,disgust,negative,negative,negative
Ross,Monica,"[0.722, 0.489, 0.6, 0.533, 0.356]","Okay, look, he's not gonna hurt them, right?",Do you always have to bring him here?,I didn't wanna leave him alone.,neutral,anger,neutral,neutral,negative,neutral
Ross,Chandler,"[0.722, 0.489, 0.6, 0.533, 0.356]","I said some things that I didn't mean, and he- he threw some faeces...","Y'know, if you're gonna work late, I could look in on him for you.","Oh, that'd be great!",neutral,neutral,joy,neutral,neutral,positive
Ross,Sarah,"[0.722, 0.489, 0.6, 0.533, 0.356]","I mean, your Dad tells me that you get a couple of days off school, and you, you ah, don t have to sell those cookies anymore.","Well, I kinda wanted to sell the cookies. The girl who sells the most wins a trip to Spacecamp, and gets to sit in a","Wow, you ah, you really like all this space stuff, huh?",neutral,sadness,surprise,neutral,negative,positive
Ross,Chandler,"[0.722, 0.489, 0.6, 0.533, 0.356]",And now you want that money back.,Exactly.,"Chandler, what kind of an idiot do you take me for?",surprise,neutral,joy,positive,neutral,positive
Ross,Chandler,"[0.722, 0.489, 0.6, 0.533, 0.356]","Chandler, what kind of an idiot do you take me for?",It s not a real game! I made it up!,"I m sorry you lost your money, but I won it fair and square.",joy,anger,joy,positive,negative,positive
